,module,unit,topic_name,content
13,Develop generative AI apps in Azure - Training,Choose and deploy models from the model catalog in Azure AI Foundry portal,"Exercise - Explore, deploy, and chat with language models","# Exercise - Explore, deploy, and chat with language models

Completed 100 XP

  * 15 minutes

Now, it's your chance to explore how to select, deploy, and test language
models in the Azure AI Foundry portal.

Note

To complete this lab, you will need an [Azure
subscription](https://azure.microsoft.com/free) in which you have
administrative access.

Launch the exercise and follow the instructions.

[![Button to launch exercise.](../../wwl-data-ai/explore-models-azure-ai-
studio/media/launch-
exercise.png)](https://go.microsoft.com/fwlink/?linkid=2277718)

* * *"
14,Develop generative AI apps in Azure - Training,Choose and deploy models from the model catalog in Azure AI Foundry portal,Module assessment,"# Module assessment

Completed 200 XP

  * 3 minutes

1.

Where can you test a deployed model in the Azure AI Foundry portal?

Chat playground

Sandbox

Development toolbox

2.

You want to specify the tone, format, and content for each interaction with
your model in the playground. What should you use to customize the model
response?

Benchmarks

Grounding

System message

3.

What deployment option should you choose to host an OpenAI model in an Azure
AI Foundry resource?

Standard deployment

Serverless compute

Managed compute

Submit answers

You must answer all questions before checking your work.

You must answer all questions before checking your work.

* * *"
15,Develop generative AI apps in Azure - Training,Choose and deploy models from the model catalog in Azure AI Foundry portal,Summary,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/explore-models-azure-ai-studio/7-summary
16,Develop generative AI apps in Azure - Training,Develop an AI app with the Azure AI Foundry SDK,Introduction,"# Introduction

Completed 100 XP

  * 1 minute

Developers creating AI solutions with Azure AI Foundry need to work with a
combination of services and software frameworks. The Azure AI Foundry SDK is
designed to bring together common services and code libraries in an AI project
through a central programmatic access point, making it easier for developers
to write the code needed to build effective AI apps on Azure.

In this module, you'll learn how to use the Azure AI Foundry SDK to work with
resources in an AI project.

Note

Azure AI Foundry SDK is currently in public preview. Details described in this
module are subject to change.

* * *"
17,Develop generative AI apps in Azure - Training,Develop an AI app with the Azure AI Foundry SDK,What is the Azure AI Foundry SDK?,"# What is the Azure AI Foundry SDK?

Completed 100 XP

  * 5 minutes

Azure AI Foundry provides a REST API that you can use to work with AI Foundry
projects and the resources they contain. Additionally, multiple language-
specific SDKs are available, enabling developers to write code that uses
resources in an Azure AI Foundry project in their preferred development
language. With an Azure AI Foundry SDK, developers can create applications
that connect to a project, access the resource connections and models in that
project, and use them to perform AI operations, such as sending prompts to a
generative AI model and processing the responses.

The core package for working with projects is the **Azure AI Projects**
library, which enables you to connect to an Azure AI Foundry project and
access the resources defined within it. Available language-specific packages
the for Azure AI Projects library include:

  * [Azure AI Projects for Python](https://pypi.org/project/azure-ai-projects)
  * [Azure AI Projects for Microsoft .NET](https://www.nuget.org/packages/Azure.AI.Projects)
  * [Azure AI Projects for JavaScript](https://www.npmjs.com/package/@azure/ai-projects)

Note

In this module, we'll use Python code examples for common tasks that a
developer may need to perform with Azure AI Foundry projects. You can refer to
the other language-specific SDK documentation to find equivalent code for your
preferred language. Each SDK is developed and maintained independently, so
some functionality may be at different stages of implementation for each
language.

To use the Azure AI Projects library in Python, you can use the **pip**
package installation utility to install the **azure-ai-projects** package from
PyPi:

Copy

    
    
    pip install azure-ai-projects
    

## Using the SDK to connect to a project

The first task in most Azure AI Foundry SDK code is to connect to an Azure AI
Foundry project. Each project has a unique _endpoint_ , which you can find on
the project's **Overview** page in the Azure AI Foundry portal.

[ ![Screenshot of the project overview page in Azure AI Foundry
portal.](../../wwl-data-ai/ai-foundry-sdk/media/ai-project-overview.png)
](../../wwl-data-ai/ai-foundry-sdk/media/ai-project-overview.png#lightbox)

Note

The project provides multiple endpoints and keys, including:

  * An endpoint for the project itself; which can be used to access project connections, agents, and models in the Azure AI Foundry resource.
  * An endpoint for Azure OpenAI Service APIs in the project's Azure AI Foundry resource.
  * An endpoint for Azure AI services APIs (such as Azure AI Vision and Azure AI Language) in the Azure AI Foundry resource.

You can use the project endpoint in your code to create an **AIProjectClient**
object, which provides a programmatic proxy for the project, as shown in this
Python example:

Python Copy

    
    
    from azure.identity import DefaultAzureCredential
    from azure.ai.projects import AIProjectClient
    ...
    
    project_endpoint = ""https://......""
    project_client = AIProjectClient(            
        credential=DefaultAzureCredential(),
        endpoint=project_endpoint)
    

Note

The code uses the default Azure credentials to authenticate when accessing the
project. To enable this authentication, in addition to the **azure-ai-
projects** package, you need to install the **azure-identity** package:

`pip install azure-identity`

Tip

To access the project successfully, the code must be run in the context of an
authenticated Azure session. For example, you could use the Azure command-line
interface (CLI) `az-login` command to sign in before running the code.

* * *"
18,Develop generative AI apps in Azure - Training,Develop an AI app with the Azure AI Foundry SDK,Work with project connections,"# Work with project connections

Completed 100 XP

  * 5 minutes

Each Azure AI Foundry project includes **connected resources** , which are
defined both at the _parent_ (Azure AI Foundry resource or hub) level, and at
the _project_ level. Each resource is a _connection_ to an external service,
such as Azure storage, Azure AI Search, Azure OpenAI, or another Azure AI
Foundry resource.

[ ![Screenshot of the connected resources page in Azure AI Foundry
portal.](../../wwl-data-ai/ai-foundry-sdk/media/ai-project-connections.png)
](../../wwl-data-ai/ai-foundry-sdk/media/ai-project-connections.png#lightbox)

With the Azure AI Foundry SDK, you can connect to a project and retrieve
connections; which you can then use to consume the connected services.

For example, the **AIProjectClient** object in Python has a **connections**
property, which you can use to access the resource connections in the project.
Methods of the **connections** object include:

  * `connections.list()`: Returns a collection of connection objects, each representing a connection in the project. You can filter the results by specifying an optional **connection_type** parameter with a valid enumeration, such as `ConnectionType.AZURE_OPEN_AI`.
  * `connections.get(connection_name, include_credentials)`: Returns a connection object for the connection with the name specified. If the **include_credentials** parameter is **True** (the default value), the credentials required to connect to the connection are returned - for example, in the form of an API key for an Azure AI services resource.

The connection objects returned by these methods include connection-specific
properties, including credentials, which you can use to connect to the
associated resource.

The following code example lists all of the resource connections that have
been added to a project:

Python Copy

    
    
    from azure.identity import DefaultAzureCredential
    from azure.ai.projects import AIProjectClient
    
    try:
    
        # Get project client
        project_endpoint = ""https://.....""
        project_client = AIProjectClient(            
                credential=DefaultAzureCredential(),
                endpoint=project_endpoint,
            )
        
        ## List all connections in the project
        connections = project_client.connections
        print(""List all connections:"")
        for connection in connections.list():
            print(f""{connection.name} ({connection.type})"")
    
    except Exception as ex:
        print(ex)
    

* * *"
19,Develop generative AI apps in Azure - Training,Develop an AI app with the Azure AI Foundry SDK,Create a chat client,"# Create a chat client

Completed 100 XP

  * 10 minutes

A common scenario in an AI application is to connect to a generative AI model
and use _prompts_ to engage in a chat-based dialog with it.

While you can use the Azure OpenAI SDK, to connect ""directly"" to a model using
key-based or Microsoft Entra ID authentication; when your model is deployed in
an Azure AI Foundry project, you can also use the Azure AI Foundry SDK to
retrieve a project client, from which you can then get an authenticated OpenAI
chat client for any models deployed in the project's Azure AI Foundry
resource. This approach makes it easy to write code that consumes models
deployed in your project, switching between them easily by changing the model
deployment name parameter.

Tip

You can use the OpenAI chat client provided by an Azure AI Foundry project to
chat with any model deployed in the associated Azure AI Foundry resource -
even non-OpenAI models, such as Microsoft Phi models.

The following Python code sample uses the **get_openai_client()** method to
get an OpenAI client with which to chat with a model that has been deployed in
the project'a Azure AI Foundry resource.

Python Copy

    
    
    from azure.identity import DefaultAzureCredential
    from azure.ai.projects import AIProjectClient
    from openai import AzureOpenAI
    
    try:
        
        # connect to the project
        project_endpoint = ""https://......""
        project_client = AIProjectClient(            
                credential=DefaultAzureCredential(),
                endpoint=project_endpoint,
            )
        
        # Get a chat client
        chat_client = project_client.get_openai_client(api_version=""2024-10-21"")
        
        # Get a chat completion based on a user-provided prompt
        user_prompt = input(""Enter a question:"")
        
        response = chat_client.chat.completions.create(
            model=your_model_deployment_name,
            messages=[
                {""role"": ""system"", ""content"": ""You are a helpful AI assistant.""},
                {""role"": ""user"", ""content"": user_prompt}
            ]
        )
        print(response.choices[0].message.content)
    
    except Exception as ex:
        print(ex)
    

Note

In addition to the **azure-ai-projects** and **azure-identity** packages
discussed previously, the sample code shown here assumes that the **openai**
package has been installed:

`pip install openai`

* * *"
20,Develop generative AI apps in Azure - Training,Develop an AI app with the Azure AI Foundry SDK,Exercise - Create a generative AI chat app,"# Exercise - Create a generative AI chat app

Completed 100 XP

  * 30 minutes

Now it's your turn to try using the Azure AI Foundry SDK!

In this exercise, you use the Azure AI Foundry SDK to connect to a project and
create an application that chats with a generative AI model.

Note

To complete this lab, you need an **[Azure
subscription](https://azure.microsoft.com/free)** in which you have
administrative access.

Launch the exercise and follow the instructions.

[![Button to launch exercise.](../../wwl-data-ai/ai-foundry-sdk/media/launch-
exercise.png)](https://go.microsoft.com/fwlink/?linkid=2303427)

* * *"
21,Develop generative AI apps in Azure - Training,Develop an AI app with the Azure AI Foundry SDK,Module assessment,"# Module assessment

Completed 200 XP

  * 3 minutes

1.

What class in the Azure AI Foundry SDK provides a proxy object for a project?

ConnectionProperties

AIProjectClient

ChatCompletionsClient

2.

What value is needed to instantiate a AIProjectClient object?

The project endpoint.

The Azure OpenAI authorization key

The Azure subscription ID

3.

Which SDK should you use to chat with a model that is deployed in an Azure AI
Foundry resource?

Azure OpenAI

Azure Machine Learning

Azure AI Language

Submit answers

You must answer all questions before checking your work.

You must answer all questions before checking your work.

* * *"
22,Develop generative AI apps in Azure - Training,Develop an AI app with the Azure AI Foundry SDK,Summary,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/ai-foundry-sdk/07-summary
23,Develop generative AI apps in Azure - Training,Get started with prompt flow to develop language model apps in the Azure AI Foundry,Introduction,"# Introduction

Completed 100 XP

  * 3 minutes

The true power of **Large Language Models** ( **LLMs** ) lies in their
application. Whether you want to use LLMs to classify web pages into
categories, or to build a chatbot on your data. To harness the power of the
LLMs available, you need to create an application that combines your data
sources with LLMs and generates the desired output.

To develop, test, tune, and deploy LLM applications, you can use **prompt
flow** , accessible in the [Azure Machine Learning
studio](https://learn.microsoft.com/en-us/azure/machine-learning/prompt-
flow/overview-what-is-prompt-flow) and the [Azure AI Foundry
portal](https://learn.microsoft.com/en-us/azure/ai-studio/how-to/prompt-flow).

Note

The focus of this module is on understanding and exploring prompt flow through
Azure AI Foundry. However, note that the content applies to the prompt flow
experience in both Azure Machine Learning and Azure AI Foundry.

Prompt flow takes a **prompt** as input, which in the context of LLMs, refers
to the query provided to the LLM application to generate a response. It's the
text or set of instructions given to the LLM application, prompting it to
generate output or perform a specific task.

For example, when you want to use a text generation model, the prompt might be
a sentence or a paragraph that initiates the generation process. In the
context of a question-answering model, the prompt could be a query asking for
information on a particular topic. The effectiveness of the prompt often
depends on how well it conveys the user's intent and the desired outcome.

Prompt flow allows you to create **flows** , which refers to the sequence of
actions or steps that are taken to achieve a specific task or functionality. A
flow represents the overall process or pipeline that incorporates the
interaction with the LLM to address a particular use case. The flow
encapsulates the entire journey from receiving input to generating output or
performing a desired action.

* * *"
24,Develop generative AI apps in Azure - Training,Get started with prompt flow to develop language model apps in the Azure AI Foundry,Understand the development lifecycle of a large language model (LLM) app,"# Understand the development lifecycle of a large language model (LLM) app

Completed 100 XP

  * 8 minutes

Before understanding how to work with prompt flow, let's explore the
development lifecycle of a Large Language Model (LLM) application.

The lifecycle consists of the following stages:

![Diagram of the four stages of the development lifecycle.](../../wwl-data-
ai/get-started-prompt-flow-ai-studio/media/development-lifecycle.png)

  1. **Initialization** : Define the use case and design the solution.
  2. **Experimentation** : Develop a flow and test with a small dataset.
  3. **Evaluation and refinement** : Assess the flow with a larger dataset.
  4. **Production** : Deploy and monitor the flow and application.

During both evaluation and refinement, and production, you might find that
your solution needs to be improved. You can revert back to experimentation
during which you develop your flow continuously, until you're satisfied with
the results.

Let's explore each of these phases in more detail.

## Initialization

Imagine you want to design and develop an LLM application to classify news
articles. Before you start creating anything, you need to define what
categories you want as output. You need to understand what a typical news
article looks like, how you present the article as input to your application,
and how the application generates the desired output.

In other words, during _initialization_ you:

![Diagram of the four steps during initialization.](../../wwl-data-ai/get-
started-prompt-flow-ai-studio/media/initialization.png)

  1. Define the **objective**
  2. Collect a **sample dataset**
  3. Build a **basic prompt**
  4. Design the **flow**

To design, develop, and test an LLM application, you need a sample dataset
that serves as the input. A sample dataset is a small representative subset of
the data you eventually expect to parse as input to your LLM application.

When collecting or creating the sample dataset, you should ensure diversity in
the data to cover various scenarios and edge cases. You should also remove any
privacy sensitive information from the dataset to avoid any vulnerabilities.

## Experimentation

You collected a sample dataset of news articles, and decided on which
categories you want the articles to be classified into. You designed a flow
that takes a news article as input, and uses an LLM to classify the article.
To test whether your flow generates the expected output, you run it against
your sample dataset.

![Diagram of the four steps during experimentation.](../../wwl-data-ai/get-
started-prompt-flow-ai-studio/media/experimentation.png)

The _experimentation_ phase is an iterative process during which you (1)
**run** the flow against a sample dataset. You then (2) **evaluate** the
prompt's performance. If you're (3) satisfied with the result, you can **move
on** to evaluation and refinement. If you think there's room for improvement,
you can (4) **modify** the flow by changing the prompt or flow itself.

## Evaluation and refinement

When you're satisfied with the output of the flow that classifies news
articles, based on the sample dataset, you can assess the flow's performance
against a larger dataset.

By testing the flow on a larger dataset, you can evaluate how well the LLM
application generalizes to new data. During evaluation, you can identify
potential bottlenecks or areas for optimization or refinement.

When you edit your flow, you should first run it against a smaller dataset
before running it again against a larger dataset. Testing your flow with a
smaller dataset allows you to more quickly respond to any issues.

Once your LLM application appears to be robust and reliable in handling
various scenarios, you can decide to move the LLM application to production.

## Production

Finally, your news article classification application is ready for
_production_.

![Diagram of the three steps during production.](../../wwl-data-ai/get-
started-prompt-flow-ai-studio/media/production.png)

During production, you:

  1. **Optimize** the flow that classifies incoming articles for efficiency and effectiveness.
  2. **Deploy** your flow to an endpoint. When you call the endpoint, the flow is triggered to run and the desired output is generated.
  3. **Monitor** the performance of your solution by collecting usage data and end-user feedback. By understanding how the application performs, you can improve the flow whenever necessary.

## Explore the complete development lifecycle

Now that you understand each stage of the development lifecycle of an LLM
application, you can explore the complete overview:

![Diagram of all stages including their steps of the development
lifecycle.](../../wwl-data-ai/get-started-prompt-flow-ai-
studio/media/detailed-lifecycle.png)

* * *"
25,Develop generative AI apps in Azure - Training,Get started with prompt flow to develop language model apps in the Azure AI Foundry,Understand core components and explore flow types,"# Understand core components and explore flow types

Completed 100 XP

  * 5 minutes

To create a Large Language Model (LLM) application with prompt flow, you need
to understand prompt flow's core components.

## Understand a flow

Prompt flow is a feature within Azure AI Foundry that allows you to author
**flows**. Flows are executable workflows often consist of three parts:

  1. **Inputs** : Represent data passed into the flow. Can be different data types like strings, integers, or boolean.
  2. **Nodes** : Represent _tools_ that perform data processing, task execution, or algorithmic operations.
  3. **Outputs** : Represent the data produced by the flow.

![Diagram of the three components of a flow pipeline.](../../wwl-data-ai/get-
started-prompt-flow-ai-studio/media/flow-pipeline.png)

Similar to a pipeline, a flow can consist of multiple nodes that can use the
flow's inputs or any output generated by another node. You can add a node to a
flow by choosing one of the available types of **tools**.

## Explore the tools available in prompt flow

Three common tools are:

  * **LLM tool** : Enables custom prompt creation utilizing Large Language Models.
  * **Python tool** : Allows the execution of custom Python scripts.
  * **Prompt tool** : Prepares prompts as strings for complex scenarios or integration with other tools.

Each tool is an executable unit with a specific function. You can use a tool
to perform tasks like summarizing text, or making an API call. You can use
multiple tools within one flow and use a tool multiple times.

Tip

If you're looking for functionality that is not offered by the available
tools, you can [create your own custom
tool](https://microsoft.github.io/promptflow/how-to-guides/develop-a-
tool/create-and-use-tool-package.html).

Whenever you add a new node to your flow, adding a new tool, you can define
the expected inputs and outputs. A node can use one of the whole flow's
inputs, or another node's output, effectively linking nodes together.

By defining the inputs, connecting nodes, and defining the desired outputs,
you can create a flow. Flows help you create LLM applications for various
purposes.

## Understand the types of flows

There are three different types of flows you can create with prompt flow:

  * **Standard flow** : Ideal for general LLM-based application development, offering a range of versatile tools.
  * **Chat flow** : Designed for conversational applications, with enhanced support for chat-related functionalities.
  * **Evaluation flow** : Focused on performance evaluation, allowing the analysis and improvement of models or applications through feedback on previous runs.

Now that you understand how a flow is structured and what you can use it for,
let's explore how you can create a flow.

* * *"
26,Develop generative AI apps in Azure - Training,Get started with prompt flow to develop language model apps in the Azure AI Foundry,Explore connections and runtimes,"# Explore connections and runtimes

Completed 100 XP

  * 4 minutes

When you create a Large Language Model (LLM) application with prompt flow, you
first need to configure any necessary **connections** and **runtimes**.

## Explore connections

Whenever you want your flow to connect to external data source, service, or
API, you need your flow to be authorized to communicate with that external
service. When you create a **connection** , you configure a secure link
between prompt flow and external services, ensuring seamless and safe data
communication.

![Diagram showing a flow with two nodes, connecting to Azure AI Search and
Azure OpenAI.](../../wwl-data-ai/get-started-prompt-flow-ai-
studio/media/connections.png)

Depending on the type of connection you create, the connection securely stores
the endpoint, API key, or credentials necessary for prompt flow to communicate
with the external service. Any necessary secrets aren't exposed to users, but
instead are stored in an Azure Key Vault.

By setting up connections, users can easily reuse external services necessary
for tools in their flows.

Certain built-in tools require you to have a connection configured:

Expand table

Connection type | Built-in tools  
---|---  
Azure OpenAI | LLM or Python  
OpenAI | LLM or Python  
Azure AI Search | Vector DB Lookup or Python  
Serp | Serp API or Python  
Custom | Python  
  
Prompt flow connections play pivotal roles in two scenarios. They automate API
credential management, simplifying and securing the handling of sensitive
access information. Additionally, they enable secure data transfer from
various sources, crucial for maintaining data integrity and privacy across
different environments.

## Explore runtimes

After creating your flow, and configuring the necessary connections your tools
use, you want to run your flow. To run the flow, you need compute, which is
offered through prompt flow **runtimes**.

![Diagram runtimes, compute, and environments in relation to
flows.](../../wwl-data-ai/get-started-prompt-flow-ai-
studio/media/runtimes.png)

Runtimes (1) are a combination of a **compute instance** (2) providing the
necessary compute resources, and an **environment** (3) specifying the
necessary packages and libraries that need to be installed before being able
to run the flow.

When you use runtimes, you have a controlled environment where flows can be
run and validated, ensuring that everything works as intended in a stable
setting. A default environment is available for quick development and testing.
When you require other packages to be installed, you can [create a custom
environment](https://learn.microsoft.com/en-us/azure/machine-learning/prompt-
flow/how-to-customize-environment-runtime).

* * *"
27,Develop generative AI apps in Azure - Training,Get started with prompt flow to develop language model apps in the Azure AI Foundry,Explore variants and monitoring options,"# Explore variants and monitoring options

Completed 100 XP

  * 6 minutes

During production, you want to optimize and deploy your flow. Finally, you
want to monitor your flows to understand when improving your flows is
necessary.

You can optimize your flow by using **variants** , you can deploy your flow to
an **endpoint** , and you can monitor your flow by evaluating key metrics.

## Explore variants

Prompt flow **variants** are versions of a tool node with distinct settings.
Currently, variants are only supported in the LLM tool, where a variant can
represent a different prompt content or connection setting. Variants allow
users to customize their approach for specific tasks, like, summarizing news
articles.

Some benefits of using variants are:

  * **Enhance the quality of your LLM generation** : Creating diverse variants of an LLM node helps find the best prompt and settings for high-quality content.
  * **Save time and effort** : Variants allow for easy management and comparison of different prompt versions, streamlining historical tracking and reducing the effort in prompt tuning.
  * **Boost productivity** : They simplify the optimization of LLM nodes, enabling quicker creation and management of variations, leading to better results in less time.
  * **Facilitate easy comparison** : Variants enable side-by-side result comparisons, aiding in choosing the most effective variant based on data-driven decisions.

## Deploy your flow to an endpoint

When you're satisfied with the performance of your flow, you can choose to
deploy it to an **online endpoint**. Endpoints are URLs that you can call from
any application. When you make an API call to an online endpoint, you can
expect (almost) immediate response.

When you deploy your flow to an online endpoint, prompt flow generates a URL
and key so you can safely integrate your flow with other applications or
business processes. When you invoke the endpoint, a flow is run and the output
is returned in real-time. As a result, deploying flows to endpoints can for
example generate chat or agentic responses that you want to return in another
application.

## Monitor evaluation metrics

In prompt flow, monitoring evaluation metrics is key to understanding your LLM
application's performance, ensuring they meet real-world expectations and
deliver accurate results.

To understand whether your application is meeting practical needs, you can
collect end-user feedback and assess the application's usefulness. Another
approach to understanding whether your application is performing well, is by
comparing LLM predictions with expected or _ground truth_ responses to gauge
accuracy and relevance. Evaluating the LLM's predictions is crucial for
keeping LLM applications reliable and effective.

### Metrics

The key metrics used for monitoring evaluation in prompt flow each offer
unique insight into the performance of LLMs:

  * _**Groundedness**_ : Measures alignment of the LLM application's output with the input source or database.
  * _**Relevance**_ : Assesses how pertinent the LLM application's output is to the given input.
  * _**Coherence**_ : Evaluates the logical flow and readability of the LLM application's text.
  * _**Fluency**_ : Assesses the grammatical and linguistic accuracy of the LLM application's output.
  * _**Similarity**_ : Quantifies the contextual and semantic match between the LLM application's output and the ground truth.

Metrics like _groundedness_ , _relevance_ , _coherence_ , _fluency_ , and
_similarity_ are key for quality assurance, ensuring that interactions with
your LLM applications are accurate and effective. Whenever your LLM
application doesn't perform as expected, you need to revert back to
experimentation to iteratively explore how to improve your flow.

* * *"
28,Develop generative AI apps in Azure - Training,Get started with prompt flow to develop language model apps in the Azure AI Foundry,Exercise - Get started with prompt flow,"# Exercise - Get started with prompt flow

Completed 100 XP

  * 15 minutes

Now, it's your chance to explore how to develop LLM apps with prompt flow.

In this exercise, you create a standard flow with prompt flow in the Azure AI
Foundry portal.

Note

To complete this lab, you need an [Azure
subscription](https://azure.microsoft.com/free) in which you have
administrative access.

Launch the exercise and follow the instructions.

[![Button to launch exercise.](../../wwl-data-ai/get-started-prompt-flow-ai-
studio/media/launch-
exercise.png)](https://go.microsoft.com/fwlink/?linkid=2258478)

* * *"
29,Develop generative AI apps in Azure - Training,Get started with prompt flow to develop language model apps in the Azure AI Foundry,Module assessment,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/get-started-prompt-flow-ai-studio/7-knowledge-check
30,Develop generative AI apps in Azure - Training,Get started with prompt flow to develop language model apps in the Azure AI Foundry,Summary,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/get-started-prompt-flow-ai-studio/8-summary
31,Develop generative AI apps in Azure - Training,Develop a RAG-based solution with your own data using Azure AI Foundry,Introduction,"# Introduction

Completed 100 XP

  * 2 minutes

Language models are growing in popularity as they create impressive coherent
answers to a user’s questions. Especially when a user interacts with a
language model through chat, it provides an intuitive way to get the
information they need.

One prevalent challenge when implementing language models through chat is the
so-called **groundedness** , which refers to whether a response is rooted,
connected, or anchored in reality or a specific context. In other words,
groundedness refers to whether the response of a language model is based on
factual information.

## Ungrounded prompts and responses

When you use a language model to generate a response to a prompt, the only
information that the model has to base the answer on comes from the data on
which it was trained - which is often just a large volume of uncontextualized
text from the Internet or some other source.

![Diagram of an ungrounded model returning an uncontextualized
response.](../../wwl-data-ai/build-copilot-ai-studio/media/ungrounded.png)

The result will likely be a grammatically coherent and logical response to the
prompt, but because it isn't grounded in relevant, factual data, it's
uncontextualized; and may in fact be inaccurate and include ""invented""
information. For example, the question ""Which product should I use to do _X_?""
might include details of a fictional product.

## Grounded prompts and responses

In contrast, you can use a data source to _ground_ the prompt with some
relevant, factual context. The prompt can then be submitted to a language
model, including the grounding data, to generate a contextualized, relevant,
and accurate response.

![Diagram of a grounded model returning a contextualized response.](../../wwl-
data-ai/build-copilot-ai-studio/media/grounded.png)

The data source can be any repository of relevant data. For example, you could
use data from a product catalog database to ground the prompt ""Which product
should I use to do _X_?"" so that the response includes relevant details of
products that exist in the catalog.

In this module, you explore how to create your own chat-based language model
application that is grounded, by building an agent with your own data.

* * *"
32,Develop generative AI apps in Azure - Training,Develop a RAG-based solution with your own data using Azure AI Foundry,Understand how to ground your language model,"# Understand how to ground your language model

Completed 100 XP

  * 6 minutes

Language models excel in generating engaging text, and are ideal as the base
for agents. Agents provide users with an intuitive chat-based application to
receive assistance in their work. When designing an agent for a specific use
case, you want to ensure your language model is grounded and uses factual
information that is relevant to what the user needs.

Though language models are trained on a vast amount of data, they may not have
access to the knowledge you want to make available to your users. To ensure
that an agent is grounded on specific data to provide accurate and domain-
specific responses, you can use **Retrieval Augmented Generation** ( **RAG**
).

## Understanding RAG

RAG is a technique that you can use to ground a language model. In other
words, it's a process for retrieving information that is relevant to the
user's initial prompt. In general terms, the RAG pattern incorporates the
following steps:

![Diagram of the retrieval augmented generation pattern.](../../wwl-data-
ai/build-copilot-ai-studio/media/rag-pattern.png)

  1. **Retrieve** grounding data based on the initial user-entered prompt.
  2. **Augment** the prompt with grounding data.
  3. Use a language model to **generate** a grounded response.

By retrieving context from a specified data source, you ensure that the
language model uses relevant information when responding, instead of relying
on its training data.

Using RAG is a powerful and easy-to-use technique for many cases in which you
want to ground your language model and improve the factual accuracy of your
generative AI app's responses.

## Adding grounding data to an Azure AI project

You can use Azure AI Foundry to build a custom age that uses your own data to
ground prompts. Azure AI Foundry supports a range of data connections that you
can use to add data to a project, including:

  * Azure Blob Storage
  * Azure Data Lake Storage Gen2
  * Microsoft OneLake

You can also upload files or folders to the storage used by your AI Foundry
project.

![Screenshot of the Add Data dialog in Azure AI Foundry portal.](../../wwl-
data-ai/build-copilot-ai-studio/media/add-data.png)

* * *"
